,component,composite,composite_start,composite_end,component_fam,composite_fam,no_overlap_score,ch_composite,ch_component
0,sp|Q8NHM5|KDM2B_HUMAN,sp|Q9Y2K7|KDM2A_HUMAN,19,687,F611,F605,1.00,11,12
1246,sp|Q8TD23|ZN675_HUMAN,sp|A8MXY4|ZNF99_HUMAN,1,591,F344,F348,0.00,19,19
1247,sp|O75373|ZN737_HUMAN,sp|A8MXY4|ZNF99_HUMAN,1,563,F344,F348,0.00,19,19
1248,sp|A8MUV8|ZN727_HUMAN,sp|A8MXY4|ZNF99_HUMAN,1,553,F344,F348,0.00,19,7
1249,sp|Q14593|ZN273_HUMAN,sp|A8MXY4|ZNF99_HUMAN,1,535,F344,F348,0.00,19,7
1250,sp|O75346|ZN253_HUMAN,sp|A8MXY4|ZNF99_HUMAN,1,481,F344,F348,0.00,19,19
1251,sp|O95780|ZN682_HUMAN,sp|A8MXY4|ZNF99_HUMAN,1,498,F344,F348,0.00,19,19
1252,sp|Q8TF32|ZN431_HUMAN,sp|A8MXY4|ZNF99_HUMAN,3,526,F344,F348,0.00,19,19
1253,sp|Q5SXM1|ZN678_HUMAN,sp|A8MXY4|ZNF99_HUMAN,308,739,F344,F348,0.00,19,1
1254,sp|Q6ZN08|ZNF66_HUMAN,sp|A8MXY4|ZNF99_HUMAN,1,572,F344,F348,0.00,19,19
1255,sp|Q15928|ZN141_HUMAN,sp|A8MXY4|ZNF99_HUMAN,1,476,F344,F348,0.00,19,4
1256,sp|P0CB33|ZN735_HUMAN,sp|A8MXY4|ZNF99_HUMAN,1,399,F344,F348,0.00,19,7
1257,sp|Q7Z2F6|ZN720_HUMAN,sp|A8MXY4|ZNF99_HUMAN,1,125,F3231,F348,0.00,19,16
1258,sp|Q8NE65|ZN738_HUMAN,sp|A8MXY4|ZNF99_HUMAN,2,75,F3504,F348,0.00,19,19
1259,sp|Q5JUW0|KRBX4_HUMAN,sp|A8MXY4|ZNF99_HUMAN,3,63,F3503,F348,0.00,19,x
1260,sp|P52744|ZN138_HUMAN,sp|A8MXY4|ZNF99_HUMAN,65,323,F1963,F348,0.00,19,7
1261,sp|O14628|ZN195_HUMAN,sp|A8MXY4|ZNF99_HUMAN,76,588,F2129,F348,0.00,19,11
1262,sp|P17020|ZNF16_HUMAN,sp|A8MXY4|ZNF99_HUMAN,198,730,F2085,F348,0.00,19,8
1263,sp|P17029|ZKSC1_HUMAN,sp|A8MXY4|ZNF99_HUMAN,220,423,F2003,F348,0.00,19,7
1264,sp|Q9H165|BC11A_HUMAN,sp|A8MXY4|ZNF99_HUMAN,253,331,F2034,F348,0.00,19,2
1265,sp|Q3KP31|ZN791_HUMAN,sp|A8MXY4|ZNF99_HUMAN,251,756,F349,F348,0.00,19,19
1266,sp|P17017|ZNF14_HUMAN,sp|A8MXY4|ZNF99_HUMAN,290,840,F349,F348,0.00,19,19
1267,sp|Q15973|ZN124_HUMAN,sp|A8MXY4|ZNF99_HUMAN,462,763,F349,F348,0.00,19,1
1268,sp|Q8TBZ8|ZN564_HUMAN,sp|A8MXY4|ZNF99_HUMAN,230,677,F349,F348,0.00,19,19
1269,sp|Q8N972|ZN709_HUMAN,sp|A8MXY4|ZNF99_HUMAN,263,814,F349,F348,0.00,19,19
1270,sp|Q7Z7L9|ZSCA2_HUMAN,sp|A8MXY4|ZNF99_HUMAN,272,677,F1995,F348,0.00,19,15
1271,sp|Q9NSJ1|Z355P_HUMAN,sp|A8MXY4|ZNF99_HUMAN,272,714,F2004,F348,0.00,19,-1
1272,sp|Q16587|ZNF74_HUMAN,sp|A8MXY4|ZNF99_HUMAN,325,676,F2008,F348,0.00,19,22
1273,sp|Q8TC21|ZN596_HUMAN,sp|A8MXY4|ZNF99_HUMAN,335,728,F2126,F348,0.00,19,8
1274,sp|Q9Y2P0|ZN835_HUMAN,sp|A8MXY4|ZNF99_HUMAN,338,728,F2037,F348,0.00,19,19
1275,sp|Q9NQV7|PRDM9_HUMAN,sp|A8MXY4|ZNF99_HUMAN,345,709,F2002,F348,0.00,19,5
1276,sp|Q9P0L1|ZKSC7_HUMAN,sp|A8MXY4|ZNF99_HUMAN,364,759,F2074,F348,0.00,19,3
1277,sp|Q86YE8|ZN573_HUMAN,sp|A8MXY4|ZNF99_HUMAN,222,759,F345,F348,0.00,19,19
1278,sp|Q8TAQ5|ZN420_HUMAN,sp|A8MXY4|ZNF99_HUMAN,265,834,F345,F348,0.00,19,19
1279,sp|A6NNF4|ZN726_HUMAN,sp|A8MXY4|ZNF99_HUMAN,1,736,F345,F348,0.00,19,19
1280,sp|Q15937|ZNF79_HUMAN,sp|A8MXY4|ZNF99_HUMAN,474,839,F345,F348,0.00,19,9
1281,sp|P17036|ZNF3_HUMAN,sp|A8MXY4|ZNF99_HUMAN,528,788,F345,F348,0.00,19,7
1282,sp|Q8TBZ5|ZN502_HUMAN,sp|A8MXY4|ZNF99_HUMAN,420,814,F345,F348,0.00,19,3
1283,sp|Q96NJ6|ZFP3_HUMAN,sp|A8MXY4|ZNF99_HUMAN,280,671,F345,F348,0.00,19,17
1284,sp|P17027|ZNF23_HUMAN,sp|A8MXY4|ZNF99_HUMAN,288,816,F345,F348,0.00,19,16
1285,sp|Q14585|ZN345_HUMAN,sp|A8MXY4|ZNF99_HUMAN,415,857,F345,F348,0.00,19,19
1286,sp|P0CG31|Z286B_HUMAN,sp|A8MXY4|ZNF99_HUMAN,432,760,F345,F348,0.00,19,-1
1287,sp|Q9C0F3|ZN436_HUMAN,sp|A8MXY4|ZNF99_HUMAN,494,841,F345,F348,0.00,19,1
1288,sp|Q9NQX6|ZN331_HUMAN,sp|A8MXY4|ZNF99_HUMAN,419,757,F345,F348,0.00,19,19
1289,sp|Q9UC06|ZNF70_HUMAN,sp|A8MXY4|ZNF99_HUMAN,403,839,F345,F348,0.00,19,22
1290,sp|Q6ZR52|ZN493_HUMAN,sp|A8MXY4|ZNF99_HUMAN,120,757,F345,F348,0.00,19,19
1291,sp|Q6ZMS4|ZN852_HUMAN,sp|A8MXY4|ZNF99_HUMAN,466,844,F345,F348,0.00,19,3
1292,sp|Q3ZCT1|ZN260_HUMAN,sp|A8MXY4|ZNF99_HUMAN,266,672,F345,F348,0.00,19,19
1293,sp|Q9UII5|ZN107_HUMAN,sp|A8MXY4|ZNF99_HUMAN,70,844,F345,F348,0.00,19,7
1294,sp|Q6ZN57|ZFP2_HUMAN,sp|A8MXY4|ZNF99_HUMAN,409,812,F345,F348,0.00,19,5
1295,sp|Q9NQZ8|ZNF71_HUMAN,sp|A8MXY4|ZNF99_HUMAN,403,784,F345,F348,0.00,19,19
1296,sp|Q4V348|Z658B_HUMAN,sp|A8MXY4|ZNF99_HUMAN,177,825,F345,F348,0.00,19,-1
1297,sp|P0CG24|ZN883_HUMAN,sp|A8MXY4|ZNF99_HUMAN,388,755,F345,F348,0.00,19,-1
1298,sp|Q96K75|ZN514_HUMAN,sp|A8MXY4|ZNF99_HUMAN,443,703,F2139,F348,0.00,19,2
1299,sp|O95201|ZN205_HUMAN,sp|A8MXY4|ZNF99_HUMAN,476,700,F1975,F348,0.00,19,16
1300,sp|Q16600|ZN239_HUMAN,sp|A8MXY4|ZNF99_HUMAN,479,783,F2109,F348,0.00,19,10
1301,sp|Q9UJN7|ZN391_HUMAN,sp|A8MXY4|ZNF99_HUMAN,488,758,F2112,F348,0.00,19,6
1302,sp|Q15940|ZNF67_HUMAN,sp|A8MXY4|ZNF99_HUMAN,526,706,F2050,F348,0.00,19,-1
1303,sp|Q49A33|Z876P_HUMAN,sp|A8MXY4|ZNF99_HUMAN,474,675,F2050,F348,0.00,19,-1
1304,sp|Q9BRR0|ZKSC3_HUMAN,sp|A8MXY4|ZNF99_HUMAN,503,757,F2013,F348,0.00,19,6
1305,sp|Q6NSZ9|ZSC25_HUMAN,sp|A8MXY4|ZNF99_HUMAN,507,696,F2064,F348,0.00,19,7
1306,sp|Q5EBM4|ZN542_HUMAN,sp|A8MXY4|ZNF99_HUMAN,511,581,F3478,F348,0.00,19,-1
1307,sp|P17026|ZNF22_HUMAN,sp|A8MXY4|ZNF99_HUMAN,521,678,F2075,F348,0.00,19,10
1308,sp|Q7Z398|ZN550_HUMAN,sp|A8MXY4|ZNF99_HUMAN,526,756,F1320,F348,0.00,19,19
1309,sp|Q9NX65|ZSC32_HUMAN,sp|A8MXY4|ZNF99_HUMAN,527,699,F1985,F348,0.00,19,16
1310,sp|Q6ZTB9|ZN833_HUMAN,sp|A8MXY4|ZNF99_HUMAN,529,707,F1997,F348,0.00,19,-1
1311,sp|P51504|ZNF80_HUMAN,sp|A8MXY4|ZNF99_HUMAN,535,759,F1987,F348,0.00,19,3
1312,sp|Q6AZW8|ZN660_HUMAN,sp|A8MXY4|ZNF99_HUMAN,472,759,F1987,F348,0.00,19,3
1313,sp|Q96CX3|ZN501_HUMAN,sp|A8MXY4|ZNF99_HUMAN,521,786,F1987,F348,0.00,19,3
1314,sp|Q8N3J9|ZN664_HUMAN,sp|A8MXY4|ZNF99_HUMAN,565,817,F1987,F348,0.00,19,12
1315,sp|Q15072|OZF_HUMAN,sp|A8MXY4|ZNF99_HUMAN,530,812,F1987,F348,0.00,19,19
1316,sp|P10073|ZSC22_HUMAN,sp|A8MXY4|ZNF99_HUMAN,530,755,F2056,F348,0.00,19,19
1317,sp|Q8N988|ZN557_HUMAN,sp|A8MXY4|ZNF99_HUMAN,531,811,F2104,F348,0.00,19,19
1318,sp|P51815|ZN75D_HUMAN,sp|A8MXY4|ZNF99_HUMAN,532,671,F2015,F348,0.00,19,x
1319,sp|Q9H4T2|ZSC16_HUMAN,sp|A8MXY4|ZNF99_HUMAN,534,649,F341,F348,0.00,19,6
1320,sp|Q9UNY5|ZN232_HUMAN,sp|A8MXY4|ZNF99_HUMAN,527,676,F341,F348,0.00,19,17
1321,sp|Q96LW9|ZSC31_HUMAN,sp|A8MXY4|ZNF99_HUMAN,560,732,F341,F348,0.00,19,6
1322,sp|O15535|ZSC9_HUMAN,sp|A8MXY4|ZNF99_HUMAN,533,672,F341,F348,0.00,19,6
1323,sp|Q9Y5A6|ZSC21_HUMAN,sp|A8MXY4|ZNF99_HUMAN,533,730,F1958,F348,0.00,19,7
1324,sp|Q8IWY8|ZSC29_HUMAN,sp|A8MXY4|ZNF99_HUMAN,533,731,F2032,F348,0.00,19,15
1325,sp|Q15776|ZKSC8_HUMAN,sp|A8MXY4|ZNF99_HUMAN,524,816,F340,F348,0.00,19,6
1326,sp|Q8NF99|ZN397_HUMAN,sp|A8MXY4|ZNF99_HUMAN,534,786,F340,F348,0.00,19,18
1327,sp|Q86W11|ZSC30_HUMAN,sp|A8MXY4|ZNF99_HUMAN,573,784,F340,F348,0.00,19,18
1328,sp|Q5VV52|ZN691_HUMAN,sp|A8MXY4|ZNF99_HUMAN,534,731,F1879,F348,0.00,19,1
1329,sp|O14771|ZN213_HUMAN,sp|A8MXY4|ZNF99_HUMAN,534,672,F1988,F348,0.00,19,16
1330,sp|P17022|ZNF18_HUMAN,sp|A8MXY4|ZNF99_HUMAN,539,678,F1951,F348,0.00,19,17
1331,sp|Q15929|ZNF56_HUMAN,sp|A8MXY4|ZNF99_HUMAN,542,658,F2029,F348,0.00,19,-1
1332,sp|Q6ZSS3|ZN621_HUMAN,sp|A8MXY4|ZNF99_HUMAN,544,759,F2046,F348,0.00,19,3
1333,sp|Q8NAM6|ZSCA4_HUMAN,sp|A8MXY4|ZNF99_HUMAN,548,671,F2156,F348,0.00,19,19
1334,sp|P17028|ZNF24_HUMAN,sp|A8MXY4|ZNF99_HUMAN,534,647,F342,F348,0.00,19,18
1335,sp|Q96N95|ZN396_HUMAN,sp|A8MXY4|ZNF99_HUMAN,573,675,F342,F348,0.00,19,18
1336,sp|O60304|ZN500_HUMAN,sp|A8MXY4|ZNF99_HUMAN,559,701,F2043,F348,0.00,19,16
1337,sp|Q8N8Y5|ZFP41_HUMAN,sp|A8MXY4|ZNF99_HUMAN,562,676,F2028,F348,0.00,19,8
1338,sp|P0CG23|ZN853_HUMAN,sp|A8MXY4|ZNF99_HUMAN,563,696,F2105,F348,0.00,19,7
1339,sp|Q8N782|ZN525_HUMAN,sp|A8MXY4|ZNF99_HUMAN,578,770,F2106,F348,0.00,19,-1
1340,sp|Q9H963|ZN702_HUMAN,sp|A8MXY4|ZNF99_HUMAN,590,716,F1954,F348,0.00,19,-1
1341,sp|Q6ZT77|ZN826_HUMAN,sp|A8MXY4|ZNF99_HUMAN,712,788,F2062,F348,0.00,19,-1
1342,sp|Q6ZRF7|ZN818_HUMAN,sp|A8MXY4|ZNF99_HUMAN,794,857,F2059,F348,0.00,19,-1
1343,sp|Q6ZRF7|ZN818_HUMAN,sp|Q5VV52|ZN691_HUMAN,120,165,F2059,F1879,1.00,1,-1
1344,sp|O60304|ZN500_HUMAN,sp|Q5VV52|ZN691_HUMAN,165,307,F2043,F1879,1.00,1,16
1345,sp|Q5JUW0|KRBX4_HUMAN,sp|Q9NQX6|ZN331_HUMAN,1,45,F3503,F345,1.00,19,x
1346,sp|Q8NE65|ZN738_HUMAN,sp|Q9NQX6|ZN331_HUMAN,3,48,F3504,F345,1.00,19,19
1347,sp|Q7Z2F6|ZN720_HUMAN,sp|Q9NQX6|ZN331_HUMAN,4,47,F3231,F345,1.00,19,16
1348,sp|Q9Y2P7|ZN256_HUMAN,sp|Q9NQX6|ZN331_HUMAN,114,461,F1382,F345,1.00,19,19
1349,sp|Q6ZTB9|ZN833_HUMAN,sp|Q9NQX6|ZN331_HUMAN,125,302,F1997,F345,1.00,19,-1
1350,sp|Q9BUG6|ZSA5A_HUMAN,sp|Q9NQX6|ZN331_HUMAN,186,321,F1953,F345,1.00,19,19
1351,sp|O95600|KLF8_HUMAN,sp|Q9NQX6|ZN331_HUMAN,192,265,F3361,F345,1.00,19,x
1352,sp|P17028|ZNF24_HUMAN,sp|Q9NQX6|ZN331_HUMAN,259,380,F342,F345,1.00,19,18
1353,sp|Q96N95|ZN396_HUMAN,sp|Q9NQX6|ZN331_HUMAN,241,325,F342,F345,1.00,19,18
1354,sp|Q9UDV7|ZN282_HUMAN,sp|Q9NQX6|ZN331_HUMAN,297,436,F1977,F345,1.00,19,7
1355,sp|Q6ZRF7|ZN818_HUMAN,sp|Q9NQX6|ZN331_HUMAN,304,352,F2059,F345,1.00,19,-1
1356,sp|Q5JUW0|KRBX4_HUMAN,sp|Q9H7R5|ZN665_HUMAN,1,47,F3503,F348,1.00,19,x
1357,sp|Q13401|PM2P3_HUMAN,sp|Q9H7R5|ZN665_HUMAN,5,47,F3232,F348,1.00,19,-1
1358,sp|Q8NE65|ZN738_HUMAN,sp|Q9H7R5|ZN665_HUMAN,5,49,F3504,F348,1.00,19,19
1359,sp|Q9BV97|ZN747_HUMAN,sp|Q9H7R5|ZN665_HUMAN,6,54,F3227,F348,1.00,19,16
1360,sp|Q7Z2F6|ZN720_HUMAN,sp|Q9H7R5|ZN665_HUMAN,6,50,F3231,F348,1.00,19,16
1361,sp|Q6ZQV5|ZN788_HUMAN,sp|Q9H7R5|ZN665_HUMAN,8,49,F3229,F348,1.00,19,-1
1362,sp|Q05481|ZNF91_HUMAN,sp|Q9H7R5|ZN665_HUMAN,173,678,F553,F348,1.00,19,19
1363,sp|O43345|ZN208_HUMAN,sp|Q9H7R5|ZN665_HUMAN,142,678,F553,F348,1.00,19,19
1364,sp|A6NN14|ZN729_HUMAN,sp|Q9H7R5|ZN665_HUMAN,2,678,F553,F348,1.00,19,19
1365,sp|A8MQ14|ZN850_HUMAN,sp|Q9H7R5|ZN665_HUMAN,5,678,F553,F348,1.00,19,19
1366,sp|Q7Z7L9|ZSCA2_HUMAN,sp|Q9H7R5|ZN665_HUMAN,147,598,F1995,F348,1.00,19,15
1367,sp|P17041|ZNF32_HUMAN,sp|Q9H7R5|ZN665_HUMAN,168,366,F3409,F348,1.00,19,10
1368,sp|Q9UJQ4|SALL4_HUMAN,sp|Q9H7R5|ZN665_HUMAN,171,228,F2025,F348,1.00,19,20
1369,sp|Q9Y5A6|ZSC21_HUMAN,sp|Q9H7R5|ZN665_HUMAN,172,399,F1958,F348,1.00,19,7
1370,sp|P49910|ZN165_HUMAN,sp|Q9H7R5|ZN665_HUMAN,174,399,F2077,F348,1.00,19,6
1371,sp|Q9NR11|ZN302_HUMAN,sp|Q9H7R5|ZN665_HUMAN,175,430,F2052,F348,1.00,19,19
1372,sp|O95201|ZN205_HUMAN,sp|Q9H7R5|ZN665_HUMAN,176,397,F1975,F348,1.00,19,16
1373,sp|Q6ZS27|ZN662_HUMAN,sp|Q9H7R5|ZN665_HUMAN,178,420,F2084,F348,1.00,19,3
1374,sp|Q9NQV7|PRDM9_HUMAN,sp|Q9H7R5|ZN665_HUMAN,179,546,F2002,F348,1.00,19,5
1375,sp|Q6ZNH5|ZN497_HUMAN,sp|Q9H7R5|ZN665_HUMAN,179,566,F2131,F348,1.00,19,19
1376,sp|Q9NPC7|MYNN_HUMAN,sp|Q9H7R5|ZN665_HUMAN,180,398,F1783,F348,1.00,19,3
1377,sp|Q15929|ZNF56_HUMAN,sp|Q9H7R5|ZN665_HUMAN,183,299,F2029,F348,1.00,19,-1
1378,sp|Q63HK3|ZKSC2_HUMAN,sp|Q9H7R5|ZN665_HUMAN,184,402,F1699,F348,1.00,19,16
1379,sp|Q8IWY8|ZSC29_HUMAN,sp|Q9H7R5|ZN665_HUMAN,191,400,F2032,F348,1.00,19,15
1380,sp|Q5VV52|ZN691_HUMAN,sp|Q9H7R5|ZN665_HUMAN,195,403,F1879,F348,1.00,19,1
1381,sp|Q9NXT0|ZN586_HUMAN,sp|Q9H7R5|ZN665_HUMAN,200,515,F1381,F348,1.00,19,19
1382,sp|Q9Y2P0|ZN835_HUMAN,sp|Q9H7R5|ZN665_HUMAN,203,593,F2037,F348,1.00,19,19
1383,sp|Q15940|ZNF67_HUMAN,sp|Q9H7R5|ZN665_HUMAN,219,403,F2050,F348,1.00,19,-1
1384,sp|Q9NSJ1|Z355P_HUMAN,sp|Q9H7R5|ZN665_HUMAN,221,607,F2004,F348,1.00,19,-1
1385,sp|Q9H5H4|ZN768_HUMAN,sp|Q9H7R5|ZN665_HUMAN,230,509,F1944,F348,1.00,19,16
1386,sp|A6NFI3|ZN316_HUMAN,sp|Q9H7R5|ZN665_HUMAN,231,482,F2023,F348,1.00,19,7
1387,sp|P0CG23|ZN853_HUMAN,sp|Q9H7R5|ZN665_HUMAN,231,366,F2105,F348,1.00,19,7
1388,sp|P51504|ZNF80_HUMAN,sp|Q9H7R5|ZN665_HUMAN,175,400,F1987,F348,1.00,19,3
1389,sp|Q6AZW8|ZN660_HUMAN,sp|Q9H7R5|ZN665_HUMAN,244,540,F1987,F348,1.00,19,3
1390,sp|Q96CX3|ZN501_HUMAN,sp|Q9H7R5|ZN665_HUMAN,244,511,F1987,F348,1.00,19,3
1391,sp|Q8N3J9|ZN664_HUMAN,sp|Q9H7R5|ZN665_HUMAN,206,456,F1987,F348,1.00,19,12
1392,sp|Q15072|OZF_HUMAN,sp|Q9H7R5|ZN665_HUMAN,303,593,F1987,F348,1.00,19,19
1393,sp|P52743|ZN137_HUMAN,sp|Q9H7R5|ZN665_HUMAN,185,368,F2106,F348,1.00,19,-1
1394,sp|Q8N782|ZN525_HUMAN,sp|Q9H7R5|ZN665_HUMAN,303,496,F2106,F348,1.00,19,-1
1395,sp|Q92670|ZN75C_HUMAN,sp|Q9H7R5|ZN665_HUMAN,246,396,F2015,F348,1.00,19,-1
1396,sp|Q15776|ZKSC8_HUMAN,sp|Q9H7R5|ZN665_HUMAN,352,652,F340,F348,1.00,19,6
1397,sp|Q8NF99|ZN397_HUMAN,sp|Q9H7R5|ZN665_HUMAN,247,565,F340,F348,1.00,19,18
1398,sp|Q86W11|ZSC30_HUMAN,sp|Q9H7R5|ZN665_HUMAN,191,425,F340,F348,1.00,19,18
1399,sp|O60304|ZN500_HUMAN,sp|Q9H7R5|ZN665_HUMAN,250,398,F2043,F348,1.00,19,16
1400,sp|Q9H963|ZN702_HUMAN,sp|Q9H7R5|ZN665_HUMAN,259,384,F1954,F348,1.00,19,-1
1401,sp|Q8N2I2|ZN619_HUMAN,sp|Q9H7R5|ZN665_HUMAN,262,540,F2012,F348,1.00,19,3
1402,sp|Q8N8C0|ZN781_HUMAN,sp|Q9H7R5|ZN665_HUMAN,276,390,F3377,F348,1.00,19,19
1403,sp|P13682|ZNF35_HUMAN,sp|Q9H7R5|ZN665_HUMAN,287,623,F2117,F348,1.00,19,3
1404,sp|Q9BUG6|ZSA5A_HUMAN,sp|Q9H7R5|ZN665_HUMAN,205,340,F1953,F348,1.00,19,19
1405,sp|P0CG00|ZSA5D_HUMAN,sp|Q9H7R5|ZN665_HUMAN,373,508,F1953,F348,1.00,19,-1
1406,sp|Q6ZT77|ZN826_HUMAN,sp|Q9H7R5|ZN665_HUMAN,297,373,F2062,F348,1.00,19,-1
1407,sp|Q96NG5|ZN558_HUMAN,sp|Q9H7R5|ZN665_HUMAN,310,564,F2104,F348,1.00,19,19
1408,sp|P10073|ZSC22_HUMAN,sp|Q9H7R5|ZN665_HUMAN,340,564,F2056,F348,1.00,19,19
1409,sp|O14771|ZN213_HUMAN,sp|Q9H7R5|ZN665_HUMAN,341,481,F1988,F348,1.00,19,16
1410,sp|Q8N8Y5|ZFP41_HUMAN,sp|Q9H7R5|ZN665_HUMAN,344,457,F2028,F348,1.00,19,8
1411,sp|Q5EBM4|ZN542_HUMAN,sp|Q9H7R5|ZN665_HUMAN,348,418,F3478,F348,1.00,19,-1
1412,sp|Q9UNY5|ZN232_HUMAN,sp|Q9H7R5|ZN665_HUMAN,524,677,F341,F348,1.00,19,17
1413,sp|Q96LW9|ZSC31_HUMAN,sp|Q9H7R5|ZN665_HUMAN,229,401,F341,F348,1.00,19,6
1414,sp|Q3MJ62|ZSC23_HUMAN,sp|Q9H7R5|ZN665_HUMAN,266,424,F341,F348,1.00,19,6
1415,sp|O15535|ZSC9_HUMAN,sp|Q9H7R5|ZN665_HUMAN,464,621,F341,F348,1.00,19,6
1416,sp|Q9H7X3|ZN696_HUMAN,sp|Q9H7R5|ZN665_HUMAN,372,623,F2071,F348,1.00,19,8
1417,sp|P52744|ZN138_HUMAN,sp|Q9H7R5|ZN665_HUMAN,397,581,F1963,F348,1.00,19,7
1418,sp|P17028|ZNF24_HUMAN,sp|Q9H7R5|ZN665_HUMAN,232,344,F342,F348,1.00,19,18
1419,sp|Q96N95|ZN396_HUMAN,sp|Q9H7R5|ZN665_HUMAN,593,676,F342,F348,1.00,19,18
1420,sp|P10075|GLI4_HUMAN,sp|Q9H7R5|ZN665_HUMAN,440,676,F2049,F348,1.00,19,8
1421,sp|Q7RTV3|ZN367_HUMAN,sp|Q9H7R5|ZN665_HUMAN,459,520,F3375,F348,1.00,19,9
1422,sp|Q9NX65|ZSC32_HUMAN,sp|Q9H7R5|ZN665_HUMAN,463,648,F1985,F348,1.00,19,16
1423,sp|P17026|ZNF22_HUMAN,sp|Q9H7R5|ZN665_HUMAN,506,655,F2075,F348,1.00,19,10
1424,sp|P98182|ZN200_HUMAN,sp|Q9H7R5|ZN665_HUMAN,542,678,F2081,F348,1.00,19,16
1425,sp|Q15697|ZN174_HUMAN,sp|Q9H7R5|ZN665_HUMAN,588,678,F2123,F348,1.00,19,16
1426,sp|Q5JUW0|KRBX4_HUMAN,sp|Q8WXB4|ZN606_HUMAN,56,132,F3503,F2107,1.00,19,x
1427,sp|C9JBD0|KRBX1_HUMAN,sp|Q8WXB4|ZN606_HUMAN,59,119,F3228,F2107,1.00,19,3
1428,sp|P0C7X2|ZN688_HUMAN,sp|Q8WXB4|ZN606_HUMAN,62,130,F2111,F2107,1.00,19,16
1429,sp|Q7Z2F6|ZN720_HUMAN,sp|Q8WXB4|ZN606_HUMAN,62,126,F3231,F2107,1.00,19,16
1430,sp|Q5TYW1|ZN658_HUMAN,sp|Q8WXB4|ZN606_HUMAN,281,790,F2147,F2107,1.00,19,9
1431,sp|Q53GI3|ZN394_HUMAN,sp|Q8WXB4|ZN606_HUMAN,390,618,F2100,F2107,1.00,19,7
1432,sp|Q9H963|ZN702_HUMAN,sp|Q8WXB4|ZN606_HUMAN,397,522,F1954,F2107,1.00,19,-1
1433,sp|Q8N782|ZN525_HUMAN,sp|Q8WXB4|ZN606_HUMAN,413,605,F2106,F2107,1.00,19,-1
1434,sp|Q8N8C0|ZN781_HUMAN,sp|Q8WXB4|ZN606_HUMAN,415,528,F3377,F2107,1.00,19,19
1435,sp|Q6P9G9|ZN449_HUMAN,sp|Q8WXB4|ZN606_HUMAN,418,618,F2057,F2107,1.00,19,x
1436,sp|O60315|ZEB2_HUMAN,sp|Q8WXB4|ZN606_HUMAN,419,494,F715,F2107,1.00,19,2
1437,sp|P37275|ZEB1_HUMAN,sp|Q8WXB4|ZN606_HUMAN,419,493,F1945,F2107,1.00,19,10
1438,sp|O60304|ZN500_HUMAN,sp|Q8WXB4|ZN606_HUMAN,419,565,F2043,F2107,1.00,19,16
1439,sp|Q9Y5A6|ZSC21_HUMAN,sp|Q8WXB4|ZN606_HUMAN,420,620,F1958,F2107,1.00,19,7
1440,sp|Q6ZTB9|ZN833_HUMAN,sp|Q8WXB4|ZN606_HUMAN,422,599,F1997,F2107,1.00,19,-1
1441,sp|Q8N8Y5|ZFP41_HUMAN,sp|Q8WXB4|ZN606_HUMAN,425,539,F2028,F2107,1.00,19,8
1442,sp|Q9H4T2|ZSC16_HUMAN,sp|Q8WXB4|ZN606_HUMAN,428,540,F341,F2107,1.00,19,6
1443,sp|Q9UNY5|ZN232_HUMAN,sp|Q8WXB4|ZN606_HUMAN,440,595,F341,F2107,1.00,19,17
1444,sp|Q96LW9|ZSC31_HUMAN,sp|Q8WXB4|ZN606_HUMAN,384,567,F341,F2107,1.00,19,6
1445,sp|Q3MJ62|ZSC23_HUMAN,sp|Q8WXB4|ZN606_HUMAN,387,534,F341,F2107,1.00,19,6
1446,sp|O15535|ZSC9_HUMAN,sp|Q8WXB4|ZN606_HUMAN,536,675,F341,F2107,1.00,19,6
1447,sp|Q5EBM4|ZN542_HUMAN,sp|Q8WXB4|ZN606_HUMAN,430,499,F3478,F2107,1.00,19,-1
1448,sp|Q15940|ZNF67_HUMAN,sp|Q8WXB4|ZN606_HUMAN,444,623,F2050,F2107,1.00,19,-1
1449,sp|Q49A33|Z876P_HUMAN,sp|Q8WXB4|ZN606_HUMAN,422,622,F2050,F2107,1.00,19,-1
1450,sp|P17022|ZNF18_HUMAN,sp|Q8WXB4|ZN606_HUMAN,458,597,F1951,F2107,1.00,19,17
1451,sp|Q7RTV3|ZN367_HUMAN,sp|Q8WXB4|ZN606_HUMAN,458,518,F3375,F2107,1.00,19,9
1452,sp|Q6ZRF7|ZN818_HUMAN,sp|Q8WXB4|ZN606_HUMAN,459,509,F2059,F2107,1.00,19,-1
1453,sp|Q02086|SP2_HUMAN,sp|Q8WXB4|ZN606_HUMAN,461,534,F2475,F2107,1.00,19,17
1454,sp|Q6BEB4|SP5_HUMAN,sp|Q8WXB4|ZN606_HUMAN,461,538,F3123,F2107,1.00,19,2
1455,sp|Q02447|SP3_HUMAN,sp|Q8WXB4|ZN606_HUMAN,461,538,F3360,F2107,1.00,19,2
1456,sp|Q02446|SP4_HUMAN,sp|Q8WXB4|ZN606_HUMAN,461,538,F3363,F2107,1.00,19,7
1457,sp|Q8TD94|KLF14_HUMAN,sp|Q8WXB4|ZN606_HUMAN,461,534,F3490,F2107,1.00,19,7
1458,sp|P0CG23|ZN853_HUMAN,sp|Q8WXB4|ZN606_HUMAN,475,615,F2105,F2107,1.00,19,7
